t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1500225847,0,0.000000,0.000000,0.000000,0.000000,events/second
1500225857,0,0.000000,0.000000,0.000000,0.000000,events/second
1500225867,0,0.000000,0.000000,0.000000,0.000000,events/second
1500225877,0,0.000000,0.000000,0.000000,0.000000,events/second
1500225887,0,0.000000,0.000000,0.000000,0.000000,events/second
1500225897,0,0.000000,0.000000,0.000000,0.000000,events/second
1500225906,0,0.000000,0.000000,0.000000,0.000000,events/second
1500225916,0,0.000000,0.000000,0.000000,0.000000,events/second
1500225926,0,0.000000,0.000000,0.000000,0.000000,events/second
1500225936,0,0.000000,0.000000,0.000000,0.000000,events/second
1500225946,0,0.000000,0.000000,0.000000,0.000000,events/second
1500225956,0,0.000000,0.000000,0.000000,0.000000,events/second
1500225966,0,0.000000,0.000000,0.000000,0.000000,events/second
1500225975,0,0.000000,0.000000,0.000000,0.000000,events/second
1500225985,0,0.000000,0.000000,0.000000,0.000000,events/second
1500225995,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226005,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226015,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226025,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226035,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226044,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226054,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226064,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226074,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226084,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226094,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226104,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226113,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226123,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226133,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226143,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226153,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226163,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226173,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226183,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226192,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226202,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226212,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226222,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226232,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226242,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226252,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226261,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226271,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226281,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226291,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226301,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226311,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226321,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226330,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226340,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226350,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226360,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226370,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226380,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226390,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226399,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226409,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226419,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226429,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226439,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226449,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226459,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226468,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226478,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226488,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226498,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226508,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226518,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226528,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226537,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226547,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226557,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226567,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226577,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226587,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226597,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226607,0,0.000000,0.000000,0.000000,0.000000,events/second
1500226616,0,0.000000,0.000000,0.000000,0.000000,events/second
