t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1500549796,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549806,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549816,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549826,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549836,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549846,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549856,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549866,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549876,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549886,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549896,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549906,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549916,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549926,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549936,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549946,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549956,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549966,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549976,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549986,0,0.000000,0.000000,0.000000,0.000000,events/second
1500549996,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550006,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550016,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550026,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550036,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550046,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550056,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550066,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550076,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550086,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550096,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550106,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550116,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550126,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550136,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550146,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550156,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550166,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550176,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550186,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550196,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550206,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550216,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550226,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550236,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550246,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550256,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550266,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550276,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550286,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550296,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550306,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550316,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550326,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550336,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550346,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550356,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550366,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550376,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550386,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550396,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550406,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550416,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550426,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550436,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550446,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550456,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550466,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550476,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550486,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550496,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550506,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550516,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550526,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550536,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550546,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550556,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550566,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550576,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550586,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550596,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550606,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550616,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550626,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550636,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550646,0,0.000000,0.000000,0.000000,0.000000,events/second
1500550656,0,0.000000,0.000000,0.000000,0.000000,events/second
