t,count,mean_rate,m1_rate
1500542445,0,0,0.0
1500542455,0,0.0,0.0
1500542465,0,0.0,0.0
1500542475,0,0.0,0.0
1500542485,0,0.0,0.0
1500542495,0,0.0,0.0
1500542505,0,0.0,0.0
1500542515,0,0.0,0.0
1500542525,0,0.0,0.0
1500542535,0,0.0,0.0
1500542545,0,0.0,0.0
1500542555,0,0.0,0.0
1500542565,0,0.0,0.0
1500542575,0,0.0,0.0
1500542585,0,0.0,0.0
1500542595,0,0.0,0.0
1500542605,0,0.0,0.0
1500542615,0,0.0,0.0
1500542625,0,0.0,0.0
1500542635,0,0.0,0.0
1500542645,0,0.0,0.0
1500542655,0,0.0,0.0
1500542665,0,0.0,0.0
1500542675,0,0.0,0.0
1500542685,0,0.0,0.0
1500542695,0,0.0,0.0
1500542705,0,0.0,0.0
1500542715,0,0.0,0.0
1500542725,0,0.0,0.0
1500542735,0,0.0,0.0
1500542745,0,0.0,0.0
1500542755,0,0.0,0.0
1500542765,0,0.0,0.0
1500542775,0,0.0,0.0
1500542785,0,0.0,0.0
1500542795,0,0.0,0.0
1500542805,0,0.0,0.0
1500542815,0,0.0,0.0
1500542825,0,0.0,0.0
1500542835,0,0.0,0.0
1500542845,0,0.0,0.0
1500542855,0,0.0,0.0
1500542865,0,0.0,0.0
1500542875,0,0.0,0.0
1500542885,0,0.0,0.0
1500542895,0,0.0,0.0
1500542905,0,0.0,0.0
1500542915,0,0.0,0.0
1500542925,0,0.0,0.0
1500542935,0,0.0,0.0
1500542945,0,0.0,0.0
1500542955,0,0.0,0.0
1500542965,0,0.0,0.0
1500542975,0,0.0,0.0
1500542985,0,0.0,0.0
1500542995,0,0.0,0.0
1500543005,0,0.0,0.0
1500543015,0,0.0,0.0
1500543025,0,0.0,0.0
1500543035,0,0.0,0.0
1500543045,0,0.0,0.0
1500543055,0,0.0,0.0
1500543065,0,0.0,0.0
1500543075,0,0.0,0.0
1500543085,0,0.0,0.0
1500543095,0,0.0,0.0
1500543105,0,0.0,0.0
1500543115,0,0.0,0.0
1500543125,0,0.0,0.0
1500543135,0,0.0,0.0
1500543145,0,0.0,0.0
1500543155,0,0.0,0.0
1500543165,0,0.0,0.0
1500543175,0,0.0,0.0
1500543185,0,0.0,0.0
1500543195,0,0.0,0.0
1500543205,0,0.0,0.0
1500543215,0,0.0,0.0
1500543225,0,0.0,0.0
1500543235,0,0.0,0.0
1500543245,0,0.0,0.0
1500543255,0,0.0,0.0
1500543265,0,0.0,0.0
1500543275,0,0.0,0.0
1500543285,0,0.0,0.0
1500543295,0,0.0,0.0
1500543305,0,0.0,0.0
1500543315,0,0.0,0.0
1500543325,0,0.0,0.0
1500543335,0,0.0,0.0
1500543345,0,0.0,0.0
1500543355,0,0.0,0.0
1500543365,0,0.0,0.0
1500543375,0,0.0,0.0
1500543385,0,0.0,0.0
1500543395,0,0.0,0.0
1500543405,0,0.0,0.0
1500543415,0,0.0,0.0
1500543425,0,0.0,0.0
1500543435,0,0.0,0.0
1500543445,0,0.0,0.0
1500543455,0,0.0,0.0
1500543465,0,0.0,0.0
1500543475,0,0.0,0.0
1500543485,0,0.0,0.0
1500543495,0,0.0,0.0
1500543505,0,0.0,0.0
1500543515,0,0.0,0.0
1500543525,0,0.0,0.0
1500543535,0,0.0,0.0
1500543545,0,0.0,0.0
1500543555,0,0.0,0.0
1500543565,0,0.0,0.0
1500543575,0,0.0,0.0
1500543585,0,0.0,0.0
1500543595,0,0.0,0.0
1500543605,0,0.0,0.0
1500543615,0,0.0,0.0
1500543625,0,0.0,0.0
1500543635,0,0.0,0.0
1500543645,0,0.0,0.0
1500543655,0,0.0,0.0
1500543665,0,0.0,0.0
1500543675,0,0.0,0.0
1500543685,0,0.0,0.0
1500543695,0,0.0,0.0
1500543705,0,0.0,0.0
1500543715,0,0.0,0.0
1500543725,0,0.0,0.0
1500543735,0,0.0,0.0
1500543745,0,0.0,0.0
1500543755,0,0.0,0.0
1500543765,0,0.0,0.0
1500543775,0,0.0,0.0
1500543785,0,0.0,0.0
1500543795,0,0.0,0.0
1500543805,0,0.0,0.0
1500543815,0,0.0,0.0
1500543825,0,0.0,0.0
1500543835,0,0.0,0.0
1500543845,0,0.0,0.0
1500543855,0,0.0,0.0
1500543865,0,0.0,0.0
1500543875,0,0.0,0.0
1500543885,0,0.0,0.0
1500543895,0,0.0,0.0
1500543905,0,0.0,0.0
1500543915,0,0.0,0.0
1500543925,0,0.0,0.0
1500543935,0,0.0,0.0
1500543945,0,0.0,0.0
1500543955,0,0.0,0.0
1500543965,0,0.0,0.0
1500543975,0,0.0,0.0
1500543985,0,0.0,0.0
1500543995,0,0.0,0.0
1500544005,0,0.0,0.0
1500544015,0,0.0,0.0
1500544025,0,0.0,0.0
1500544035,0,0.0,0.0
1500544045,0,0.0,0.0
1500544055,0,0.0,0.0
1500544065,0,0.0,0.0
1500544075,0,0.0,0.0
1500544085,0,0.0,0.0
1500544095,0,0.0,0.0
1500544105,0,0.0,0.0
1500544115,0,0.0,0.0
1500544125,0,0.0,0.0
1500544135,0,0.0,0.0
1500544145,0,0.0,0.0
1500544155,0,0.0,0.0
1500544165,0,0.0,0.0
1500544175,0,0.0,0.0
1500544185,0,0.0,0.0
1500544195,0,0.0,0.0
1500544205,0,0.0,0.0
1500544215,0,0.0,0.0
1500544225,0,0.0,0.0
1500544235,0,0.0,0.0
1500544245,0,0.0,0.0
1500544255,0,0.0,0.0
1500544265,0,0.0,0.0
1500544275,0,0.0,0.0
1500544285,0,0.0,0.0
1500544295,0,0.0,0.0
1500544305,0,0.0,0.0
1500544315,0,0.0,0.0
1500544325,0,0.0,0.0
1500544335,0,0.0,0.0
1500544345,0,0.0,0.0
1500544355,0,0.0,0.0
1500544365,0,0.0,0.0
1500544375,0,0.0,0.0
1500544385,0,0.0,0.0
1500544395,0,0.0,0.0
1500544405,0,0.0,0.0
1500544415,0,0.0,0.0
1500544425,0,0.0,0.0
1500544435,0,0.0,0.0
1500544445,0,0.0,0.0
1500544455,0,0.0,0.0
1500544465,0,0.0,0.0
1500544475,0,0.0,0.0
1500544485,0,0.0,0.0
1500544495,0,0.0,0.0
1500544505,0,0.0,0.0
1500544515,0,0.0,0.0
1500544525,0,0.0,0.0
1500544535,0,0.0,0.0
1500544545,0,0.0,0.0
1500544555,0,0.0,0.0
1500544565,0,0.0,0.0
1500544575,0,0.0,0.0
1500544585,0,0.0,0.0
1500544595,0,0.0,0.0
1500544605,0,0.0,0.0
1500544615,0,0.0,0.0
1500544625,0,0.0,0.0
1500544635,0,0.0,0.0
1500544645,0,0.0,0.0
1500544655,0,0.0,0.0
1500544665,0,0.0,0.0
1500544675,0,0.0,0.0
1500544685,0,0.0,0.0
1500544695,0,0.0,0.0
1500544705,0,0.0,0.0
1500544715,0,0.0,0.0
1500544725,0,0.0,0.0
1500544735,0,0.0,0.0
1500544745,0,0.0,0.0
1500544755,0,0.0,0.0
1500544765,0,0.0,0.0
1500544775,0,0.0,0.0
1500544785,0,0.0,0.0
1500544795,0,0.0,0.0
1500544805,0,0.0,0.0
1500544815,0,0.0,0.0
1500544825,0,0.0,0.0
1500544835,0,0.0,0.0
1500544845,0,0.0,0.0
1500544855,0,0.0,0.0
1500544865,0,0.0,0.0
1500544875,0,0.0,0.0
1500544885,0,0.0,0.0
1500544895,0,0.0,0.0
1500544905,0,0.0,0.0
1500544915,0,0.0,0.0
1500544925,0,0.0,0.0
1500544935,0,0.0,0.0
1500544945,0,0.0,0.0
1500544955,0,0.0,0.0
1500544965,0,0.0,0.0
1500544975,0,0.0,0.0
1500544985,0,0.0,0.0
1500544995,0,0.0,0.0
1500545005,0,0.0,0.0
1500545015,0,0.0,0.0
1500545025,0,0.0,0.0
1500545035,0,0.0,0.0
1500545045,0,0.0,0.0
1500545055,0,0.0,0.0
1500545065,0,0.0,0.0
1500545075,0,0.0,0.0
1500545085,0,0.0,0.0
1500545095,0,0.0,0.0
1500545105,0,0.0,0.0
1500545115,0,0.0,0.0
1500545125,0,0.0,0.0
1500545135,0,0.0,0.0
1500545145,0,0.0,0.0
1500545155,0,0.0,0.0
1500545165,0,0.0,0.0
1500545175,0,0.0,0.0
1500545185,0,0.0,0.0
1500545195,0,0.0,0.0
1500545205,0,0.0,0.0
1500545215,0,0.0,0.0
1500545225,0,0.0,0.0
1500545235,0,0.0,0.0
1500545245,0,0.0,0.0
1500545255,0,0.0,0.0
1500545265,0,0.0,0.0
1500545275,0,0.0,0.0
1500545285,0,0.0,0.0
1500545295,0,0.0,0.0
1500545305,0,0.0,0.0
1500545315,0,0.0,0.0
1500545325,0,0.0,0.0
1500545335,0,0.0,0.0
