t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1500285394,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285404,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285414,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285424,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285434,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285443,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285453,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285485,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285495,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285504,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285514,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285524,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285534,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285544,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285554,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285564,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285574,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285583,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285593,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285603,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285613,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285623,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285633,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285643,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285653,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285662,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285672,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285682,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285692,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285702,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285712,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285722,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285732,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285741,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285751,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285761,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285771,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285781,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285791,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285801,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285811,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285820,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285830,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285840,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285850,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285860,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285870,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285880,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285890,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285899,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285909,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285919,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285929,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285939,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285949,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285959,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285969,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285978,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285988,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285998,0,0.000000,0.000000,0.000000,0.000000,events/second
1500286008,0,0.000000,0.000000,0.000000,0.000000,events/second
1500286018,0,0.000000,0.000000,0.000000,0.000000,events/second
